Reg. č.,Program zkratka,Obor zkr. zkratka,Typ studia,Forma,Datum přijetí př.,Školné zapl.,Potvrzení zájmu,KA - obec,KA - stát,Rozh. o přijetí - kód,Rozh. o přijetí - název,Datum zápisu,Studium,ID přihlášky,Program název,Pohlaví
59205,B-BEE,,Bakalářský,prezenční,05. 11. 2019,,ne,"Vill Baiyapur Khurd, Delhi Road, Sonipat, Haryana",Indická republika,20,20 - Nepřijat -- PZ,,ne,142309,Environmental Engineering,žena
65030,B-BGISRS,,Bakalářský,prezenční,10. 01. 2020,,ne,"Vill Baiyapur Khurd, Delhi Road, Sonipat, Haryana",Indická republika,20,20 - Nepřijat -- PZ,,ne,144606,Geographic information systems and Remote sensing in Environmental Sciences,žena
69284,N-ENVA,,Magisterský navazující,prezenční,31. 01. 2020,12500,ano,Kermanshah,Íránská islámská republika,10,10 - Přijat,10.11.2020,ano,144826,Environmental Modelling,muž
68692,N-KI,LPAO,Magisterský navazující,prezenční,29. 01. 2020,0,ano,São Paulo,Brazilská federativní republika,10,10 - Přijat,,ne,144827,Krajinné inženýrství,žena
61922,N-EGS,,Magisterský navazující,prezenční,10. 12. 2019,,ne,Dubai,Spojené arabské emiráty,20,20 - Nepřijat -- PZ,,ne,142675,Environmental Geosciences,muž
59371,B-BEDS,,Bakalářský,prezenční,10. 11. 2019,,ne,Alexandria,Egyptská arabská republika,20,20 - Nepřijat -- PZ,,ne,142295,Environmental Data Science,muž
58217,N-NCO,,Magisterský navazující,prezenční,24. 10. 2019,,ne,Bamenda,Ostatní,20,20 - Nepřijat -- PZ,,ne,142676,Nature Conservation,muž
62984,B-BEE,,Bakalářský,prezenční,19. 12. 2019,,ne,Ilawe Ekiti,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,144595,Environmental Engineering,muž
64659,N-EGS,,Magisterský navazující,prezenční,08. 01. 2020,,ne,Deek el Mehdi,Libanonská republika,20,20 - Nepřijat -- PZ,,ne,142860,Environmental Geosciences,žena
59586,N-ENVA,,Magisterský navazující,prezenční,13. 11. 2019,,ne,"Abule-egba, Lagos State.",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,144455,Environmental Modelling,muž
64596,N-KI,LPAO,Magisterský navazující,prezenční,07. 01. 2020,,ne,Praha (Břevnov),Česká republika,20,20 - Nepřijat -- PZ,,ne,143055,Krajinné inženýrství,žena
96697,N-KI,LPAO,Magisterský navazující,prezenční,16. 05. 2020,12500,ano,Praha (Břevnov),Česká republika,10,10 - Přijat,23.09.2020,ano,165915,Krajinné inženýrství,žena
82126,N-KI,LPAO,Magisterský navazující,prezenční,18. 03. 2020,12500,ano,Brno (Komín),Česká republika,10,10 - Přijat,07.10.2020,ano,159029,Krajinné inženýrství,žena
63064,B-BEE,,Bakalářský,prezenční,19. 12. 2019,0,ano,"Nerima ward, Tokyo",Japonsko,10,10 - Přijat,,ne,144596,Environmental Engineering,žena
62015,N-KI,LPAO,Magisterský navazující,prezenční,11. 12. 2019,,ne,Accra-Ghana,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,142677,Krajinné inženýrství,muž
61684,N-NCO,,Magisterský navazující,prezenční,09. 12. 2019,0,ano,Addis Ababa,Etiopská federativní demokratická republika,10,10 - Přijat,,ne,142678,Nature Conservation,žena
58187,B-BEDS,,Bakalářský,prezenční,23. 10. 2019,,ne,OJODU,Ostatní,20,20 - Nepřijat -- PZ,,ne,142537,Environmental Data Science,muž
79062,N-EGS,,Magisterský navazující,prezenční,08. 03. 2020,,ne,Jos South Plateau State,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,156322,Environmental Geosciences,žena
64108,N-KI,LPAO,Magisterský navazující,prezenční,03. 01. 2020,,ne,Anthony village,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,144255,Krajinné inženýrství,muž
65545,B-BEE,,Bakalářský,prezenční,15. 01. 2020,,ne,"Ipaja, Lagos",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,144597,Environmental Engineering,muž
84639,B-BEE,,Bakalářský,prezenční,24. 03. 2020,,ne,Rubavu,Rwandská republika,20,20 - Nepřijat -- PZ,,ne,153859,Environmental Engineering,žena
63702,N-NCO,,Magisterský navazující,prezenční,28. 12. 2019,,ne,"Ota, Ogun State",Ostatní,20,20 - Nepřijat -- PZ,,ne,144539,Nature Conservation,muž
86632,N-EGS,,Magisterský navazující,prezenční,27. 03. 2020,,ne,"Ota, Ogun State",Ostatní,20,20 - Nepřijat -- PZ,,ne,156323,Environmental Geosciences,muž
