Reg. č.,Program zkratka,Obor zkr. zkratka,Typ studia,Forma,Datum přijetí př.,Školné zapl.,Potvrzení zájmu,KA - obec,KA - stát,Rozh. o přijetí - kód,Rozh. o přijetí - název,Datum zápisu,Studium,ID přihlášky,Program název,Pohlaví
58284,B-BEE,,Bakalářský,prezenční,26. 10. 2019,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,142595,Environmental Engineering,muž
81009,N-LWM,,Magisterský navazující,prezenční,15. 03. 2020,,ne,"Abuja, FCT",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,163355,Land and Water Management,muž
66584,N-NCO,,Magisterský navazující,prezenční,19. 01. 2020,,ne,KUMASI,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,143823,Nature Conservation,muž
75771,B-BEDS,,Bakalářský,prezenční,25. 02. 2020,,ne,Ajman,Spojené arabské emiráty,20,20 - Nepřijat -- PZ,,ne,149830,Environmental Data Science,muž
95951,N-ENVA,,Magisterský navazující,prezenční,11. 05. 2020,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,165916,Environmental Modelling,muž
97207,N-NCO,,Magisterský navazující,prezenční,22. 05. 2020,0,ne,"Dubai, UAE",Spojené arabské emiráty,10,10 - Přijat,,ne,165917,Nature Conservation,muž
97193,B-BEDS,,Bakalářský,prezenční,22. 05. 2020,,ne,Rawalpindi,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,166375,Environmental Data Science,muž
61140,N-EGS,,Magisterský navazující,prezenční,03. 12. 2019,,ne,Dohuk,Irácká republika,20,20 - Nepřijat -- PZ,,ne,144540,Environmental Geosciences,žena
78076,N-EGS,,Magisterský navazující,prezenční,03. 03. 2020,20000,ano,"DOHUK, SEMEL",Irácká republika,10,10 - Přijat,,ne,150599,Environmental Geosciences,žena
59924,N-ENVA,,Magisterský navazující,prezenční,18. 11. 2019,,ne,Tema,Ostatní,20,20 - Nepřijat -- PZ,,ne,144256,Environmental Modelling,muž
95728,B-BEDS,,Bakalářský,prezenční,09. 05. 2020,,ne,Atyrau,Republika Kazachstán,20,20 - Nepřijat -- PZ,,ne,164259,Environmental Data Science,žena
99392,B-BEDS,,Bakalářský,prezenční,28. 05. 2020,,ne,"Oyemekun road Akure, Ondo State. Nigeria.",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,166376,Environmental Data Science,muž
99412,N-ENVA,,Magisterský navazující,prezenční,28. 05. 2020,,ne,"Oyemekun road Akure, Ondo State. Nigeria.",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,166396,Environmental Modelling,muž
80801,B-BEE,,Bakalářský,prezenční,14. 03. 2020,,ne,Yaounde,Kamerunská republika,20,20 - Nepřijat -- PZ,,ne,153860,Environmental Engineering,muž
64263,N-NCO,,Magisterský navazující,prezenční,05. 01. 2020,,ne,"Ibadan, Oyo State.",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,144257,Nature Conservation,muž
63873,N-EGS,,Magisterský navazující,prezenční,30. 12. 2019,,ne,"Ibadan, Oyo State.",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,144258,Environmental Geosciences,muž
67430,B-BEDS,,Bakalářský,prezenční,26. 01. 2020,,ne,"Off Sunday Bus Stop, Ijoka-Road, Akure Ondo State",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,144598,Environmental Data Science,žena
67436,B-BGISRS,,Bakalářský,prezenční,26. 01. 2020,,ne,"Off Sunday Bus Stop, Ijoka-Road, Akure Ondo State",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,144599,Geographic information systems and Remote sensing in Environmental Sciences,žena
67448,N-EGS,,Magisterský navazující,prezenční,26. 01. 2020,,ne,Bepong,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,144828,Environmental Geosciences,žena
65564,N-ENVA,,Magisterský navazující,prezenční,15. 01. 2020,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,144543,Environmental Modelling,muž
62532,N-EGS,,Magisterský navazující,prezenční,16. 12. 2019,0,ne,Los Angeles,Spojené státy americké,10,10 - Přijat,,ne,144541,Environmental Geosciences,žena
86253,B-BEE,,Bakalářský,prezenční,26. 03. 2020,,ne,Kolín V,Česká republika,20,20 - Nepřijat -- PZ,,ne,154926,Environmental Engineering,muž
64707,N-EGS,,Magisterský navazující,prezenční,08. 01. 2020,,ne,Mohalla Sargental Torwarsak,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,143824,Environmental Geosciences,muž
96137,N-KI,LPAO,Magisterský navazující,prezenční,13. 05. 2020,,ne,sulaymaniyah,Irácká republika,20,20 - Nepřijat -- PZ,,ne,165918,Krajinné inženýrství,muž
68589,N-KI,LPAO,Magisterský navazující,prezenční,29. 01. 2020,,ne,Pardubice,Česká republika,20,20 - Nepřijat -- PZ,,ne,144542,Krajinné inženýrství,muž
58705,B-BEE,,Bakalářský,prezenční,30. 10. 2019,,ne,Clarksville,Spojené státy americké,20,20 - Nepřijat -- PZ,,ne,142296,Environmental Engineering,žena
94650,B-BEE,,Bakalářský,prezenční,27. 04. 2020,,ne,Dawmat Aljandal,Saúdskoarabské království,20,20 - Nepřijat -- PZ,,ne,163695,Environmental Engineering,muž
57341,B-BEE,,Bakalářský,prezenční,09. 10. 2019,,ne,Medea,Alžírská lidová demokratická republika,20,20 - Nepřijat -- PZ,,ne,142297,Environmental Engineering,muž
98292,N-NCO,,Magisterský navazující,prezenční,27. 05. 2020,,ne,"Aba, Abia State, Nigeria",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,166397,Nature Conservation,muž
64498,B-BEDS,,Bakalářský,prezenční,07. 01. 2020,,ne,"ODUPONG KPEHE, KASOA, CENTRAL REGION",Ghanská republika,20,20 - Nepřijat -- PZ,,ne,144735,Environmental Data Science,muž
98853,N-EGS,,Magisterský navazující,prezenční,28. 05. 2020,,ne,Windhoek,Ostatní,20,20 - Nepřijat -- PZ,,ne,166295,Environmental Geosciences,žena
58544,N-KI,LPAO,Magisterský navazující,prezenční,29. 10. 2019,,ne,Accra,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,142679,Krajinné inženýrství,muž
66713,N-ENVA,,Magisterský navazující,prezenční,20. 01. 2020,,ne,Sunyani,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,144829,Environmental Modelling,muž
59377,B-BEDS,,Bakalářský,prezenční,11. 11. 2019,,ne,Accra,Ostatní,20,20 - Nepřijat -- PZ,,ne,144736,Environmental Data Science,žena
57984,N-ENVA,,Magisterský navazující,prezenční,19. 10. 2019,,ne,KUMASI,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,142680,Environmental Modelling,muž
65578,N-ENVA,,Magisterský navazující,prezenční,15. 01. 2020,,ne,Kasoa,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,144259,Environmental Modelling,muž
65687,N-EGS,,Magisterský navazující,prezenční,16. 01. 2020,,ne,Kasoa,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,144260,Environmental Geosciences,muž
79984,B-BEE,,Bakalářský,prezenční,11. 03. 2020,,ne,CASABLANCA,Marocké království,20,20 - Nepřijat -- PZ,,ne,152659,Environmental Engineering,muž
98753,N-EGS,,Magisterský navazující,prezenční,27. 05. 2020,,ne,"Teh. Kharian, District Gujrat, Punjab",Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,166296,Environmental Geosciences,muž
99796,B-BEDS,,Bakalářský,prezenční,29. 05. 2020,,ne,"Main Road Bhagowal Kalan, Gujrat, Pakistan",Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,166377,Environmental Data Science,muž
62605,N-KI,LPAO,Magisterský navazující,prezenční,16. 12. 2019,,ne,Okota,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,142681,Krajinné inženýrství,muž
79093,N-NCO,,Magisterský navazující,prezenční,08. 03. 2020,,ne,Pirmahal,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,150600,Nature Conservation,žena
63066,B-BEDS,,Bakalářský,prezenční,19. 12. 2019,,ne,Madina,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,143016,Environmental Data Science,muž
86511,N-EGS,,Magisterský navazující,prezenční,26. 03. 2020,,ne,Ilorin,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,153997,Environmental Geosciences,muž
63539,N-ENVA,,Magisterský navazující,prezenční,26. 12. 2019,0,ano,Praha (Jinonice),Česká republika,10,10 - Přijat,,ne,144830,Environmental Modelling,žena
62986,N-EGS,,Magisterský navazující,prezenční,19. 12. 2019,,ne,Okara,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,143062,Environmental Geosciences,muž
59764,N-ENVA,,Magisterský navazující,prezenční,16. 11. 2019,,ne,Azimiye - Karaj,Íránská islámská republika,20,20 - Nepřijat -- PZ,,ne,142682,Environmental Modelling,muž
74644,N-KI,LPAO,Magisterský navazující,prezenční,21. 02. 2020,,ne,Azimiye - Karaj,Íránská islámská republika,20,20 - Nepřijat -- PZ,,ne,150601,Krajinné inženýrství,muž
62200,N-ENVA,,Magisterský navazující,prezenční,14. 12. 2019,,ne,"AGONA SWEDRU, GHANA",Ghanská republika,20,20 - Nepřijat -- PZ,,ne,144261,Environmental Modelling,žena
62204,N-KI,LPAO,Magisterský navazující,prezenční,14. 12. 2019,,ne,"AGONA SWEDRU, GHANA",Ghanská republika,20,20 - Nepřijat -- PZ,,ne,144262,Krajinné inženýrství,žena
62201,N-ENVA,,Magisterský navazující,prezenční,14. 12. 2019,,ne,"AGONA SWEDRU, GHANA",Ghanská republika,20,20 - Nepřijat -- PZ,,ne,144263,Environmental Modelling,muž
79034,B-BEE,,Bakalářský,prezenční,07. 03. 2020,,ne,"Macharty Police Barracks, Block 1, Flat 13, Moloney Street, Lagos",Ostatní,20,20 - Nepřijat -- PZ,,ne,152660,Environmental Engineering,muž
99653,N-NCO,,Magisterský navazující,prezenční,29. 05. 2020,,ne,Bellbowrie,Austrálie,20,20 - Nepřijat -- PZ,,ne,166398,Nature Conservation,žena
94976,N-NCO,,Magisterský navazující,prezenční,30. 04. 2020,,ne,Istanbul,Turecká republika,20,20 - Nepřijat -- PZ,,ne,165919,Nature Conservation,žena
67531,N-EGS,,Magisterský navazující,prezenční,27. 01. 2020,,ne,Jos,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,144264,Environmental Geosciences,žena
86590,B-BEE,,Bakalářský,prezenční,27. 03. 2020,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,154927,Environmental Engineering,muž
65643,N-EGS,,Magisterský navazující,prezenční,16. 01. 2020,,ne,"Alamo, Magboro",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,143825,Environmental Geosciences,žena
60859,B-BEDS,,Bakalářský,prezenční,30. 11. 2019,,ne,Kumasi,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,144475,Environmental Data Science,muž
59498,N-ENVA,,Magisterský navazující,prezenční,12. 11. 2019,,ne,Kumasi,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,142683,Environmental Modelling,muž
65714,N-NCO,,Magisterský navazující,prezenční,16. 01. 2020,,ne,Bedford,Spojené království Velké Británie a Severního Irska,20,20 - Nepřijat -- PZ,,ne,143826,Nature Conservation,muž
96930,B-BEDS,,Bakalářský,prezenční,19. 05. 2020,10000,ano,Praha,Česká republika,10,10 - Přijat,22.09.2020,ano,164715,Environmental Data Science,muž
77883,B-BEE,,Bakalářský,prezenční,03. 03. 2020,,ne,Hradec Králové,Česká republika,20,20 - Nepřijat -- PZ,,ne,153861,Environmental Engineering,muž
62190,B-BGISRS,,Bakalářský,prezenční,13. 12. 2019,,ne,"KUJE, ABUJA NIGERIA",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,142538,Geographic information systems and Remote sensing in Environmental Sciences,muž
58324,N-EGS,,Magisterský navazující,prezenční,27. 10. 2019,,ne,Lagos,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,144456,Environmental Geosciences,muž
65797,N-KI,LPAO,Magisterský navazující,prezenční,17. 01. 2020,12200,ano,Tehran,Íránská islámská republika,10,10 - Přijat,24.09.2020,ano,144265,Krajinné inženýrství,muž
65767,B-BGISRS,,Bakalářský,prezenční,17. 01. 2020,0,ne,Steamboat Springs,Spojené státy americké,10,10 - Přijat,,ne,144476,Geographic information systems and Remote sensing in Environmental Sciences,muž
59158,N-EGS,,Magisterský navazující,prezenční,05. 11. 2019,,ne,Alexandria,Egyptská arabská republika,20,20 - Nepřijat -- PZ,,ne,142861,Environmental Geosciences,muž
66224,N-EGS,,Magisterský navazující,prezenční,19. 01. 2020,0,ne,Baku,Ázerbájdžánská republika,10,10 - Přijat,,ne,144457,Environmental Geosciences,žena
68413,B-BEDS,,Bakalářský,prezenční,29. 01. 2020,,ne,Douala,Kamerunská republika,20,20 - Nepřijat -- PZ,,ne,144737,Environmental Data Science,muž
82464,N-KI,LPAO,Magisterský navazující,prezenční,19. 03. 2020,,ne,"Azimiyeh, Karaj, Alborz province",Íránská islámská republika,20,20 - Nepřijat -- PZ,,ne,153612,Krajinné inženýrství,žena
80295,N-KI,LPAO,Magisterský navazující,prezenční,12. 03. 2020,12500,ano,Shymkent,Republika Kazachstán,10,10 - Přijat,02.11.2020,ano,150602,Krajinné inženýrství,žena
65666,N-ENVA,,Magisterský navazující,prezenční,16. 01. 2020,12500,ano,Manlius,Spojené státy americké,10,10 - Přijat,23.09.2020,ano,144544,Environmental Modelling,muž
83106,N-EGS,,Magisterský navazující,prezenční,20. 03. 2020,,ne,Ikoyi Lagos,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,153998,Environmental Geosciences,muž
95581,N-NCO,,Magisterský navazující,prezenční,07. 05. 2020,,ne,Ikoyi Lagos,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,166399,Nature Conservation,muž
87267,N-ENVA,,Magisterský navazující,prezenční,27. 03. 2020,,ne,Almaty,Republika Kazachstán,20,20 - Nepřijat -- PZ,,ne,159030,Environmental Modelling,žena
85104,N-ENVA,,Magisterský navazující,prezenční,24. 03. 2020,,ne,Douala,Kamerunská republika,20,20 - Nepřijat -- PZ,,ne,153999,Environmental Modelling,muž
99759,B-BEE,,Bakalářský,prezenční,01. 06. 2020,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,166695,Environmental Engineering,muž
68429,B-BEE,,Bakalářský,prezenční,29. 01. 2020,,ne,Abbottabad,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,144738,Environmental Engineering,muž
57185,B-BGISRS,,Bakalářský,prezenční,08. 10. 2019,7494.64,ano,Riviere des Anguilles,Mauricijská republika,10,10 - Přijat,26.08.2021,ano,142298,Geographic information systems and Remote sensing in Environmental Sciences,muž
66842,N-NCO,,Magisterský navazující,prezenční,22. 01. 2020,,ne,"Near Wildlife Institute of India, Chandrabani, Dehardun",Indická republika,20,20 - Nepřijat -- PZ,,ne,144831,Nature Conservation,muž
57527,B-BEE,,Bakalářský,prezenční,13. 10. 2019,,ne,Faisalabad,Pákistánská islámská republika,20,20 - Nepřijat -- PZ,,ne,142299,Environmental Engineering,muž
67133,N-KI,LPAO,Magisterský navazující,prezenční,24. 01. 2020,,ne,TEBESSA- ALGERIA,Alžírská lidová demokratická republika,20,20 - Nepřijat -- PZ,,ne,144832,Krajinné inženýrství,muž
68547,N-NCO,,Magisterský navazující,prezenční,29. 01. 2020,0,ne,Tarragona,Španělské království,10,10 - Přijat,,ne,144833,Nature Conservation,žena
57486,N-NCO,,Magisterský navazující,prezenční,12. 10. 2019,,ne,Manchester,Spojené království Velké Británie a Severního Irska,20,20 - Nepřijat -- PZ,,ne,142684,Nature Conservation,muž
97250,B-BEE,,Bakalářský,prezenční,23. 05. 2020,7500,ano,Praha (Žižkov),Česká republika,10,10 - Přijat,11.11.2020,ano,166135,Environmental Engineering,muž
86403,N-NCO,,Magisterský navazující,prezenční,26. 03. 2020,,ne,roskilde,Dánské království,20,20 - Nepřijat -- PZ,,ne,154000,Nature Conservation,muž
68323,N-KI,LPAO,Magisterský navazující,prezenční,28. 01. 2020,12500,ano,Moscow,Ruská federace,10,10 - Přijat,06.01.2021,ano,144834,Krajinné inženýrství,žena
69446,N-NCO,,Magisterský navazující,prezenční,31. 01. 2020,12500,ano,Barcelona,Španělské království,10,10 - Přijat,14.10.2020,ano,144855,Nature Conservation,muž
56964,N-NCO,,Magisterský navazující,prezenční,04. 10. 2019,,ne,New Bortianor,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,142685,Nature Conservation,muž
65637,B-BEDS,,Bakalářský,prezenční,15. 01. 2020,,ne,libreville,Gabonská republika,20,20 - Nepřijat -- PZ,,ne,143393,Environmental Data Science,muž
69266,B-BEDS,,Bakalářský,prezenční,31. 01. 2020,0,ne,Jacksonville,Spojené státy americké,10,10 - Přijat,,ne,144739,Environmental Data Science,žena
85444,B-BEE,,Bakalářský,prezenční,25. 03. 2020,7499.98,ano,Jacksonville,Spojené státy americké,10,10 - Přijat,23.08.2021,ano,153862,Environmental Engineering,žena
65326,N-KI,LPAO,Magisterský navazující,prezenční,13. 01. 2020,,ne,"Tal-Dist-Vadodara,Gujarat,India",Indická republika,20,20 - Nepřijat -- PZ,,ne,143056,Krajinné inženýrství,muž
66669,B-BEE,,Bakalářský,prezenční,20. 01. 2020,7422.26,ano,Moscow,Ruská federace,10,10 - Přijat,12.03.2021,ano,144740,Environmental Engineering,žena
69448,N-NCO,,Magisterský navazující,prezenční,31. 01. 2020,12500,ano,Granollers,Španělské království,10,10 - Přijat,19.10.2020,ano,144856,Nature Conservation,žena
86535,N-NCO,,Magisterský navazující,prezenční,26. 03. 2020,,ne,"Poptún, Petén",Guatemalská republika,20,20 - Nepřijat -- PZ,,ne,154001,Nature Conservation,žena
58384,N-ENVA,,Magisterský navazující,prezenční,28. 10. 2019,0,ano,Praha (Libeň),Česká republika,10,10 - Přijat,,ne,142686,Environmental Modelling,muž
68504,N-ENVA,,Magisterský navazující,prezenční,29. 01. 2020,,ne,Bologna,Italská republika,20,20 - Nepřijat -- PZ,,ne,144857,Environmental Modelling,muž
99618,N-EGS,,Magisterský navazující,prezenční,01. 06. 2020,,ne,Bologna,Italská republika,20,20 - Nepřijat -- PZ,,ne,166502,Environmental Geosciences,muž
61672,N-EGS,,Magisterský navazující,prezenční,09. 12. 2019,0,ano,Bogota,Kolumbijská republika,10,10 - Přijat,,ne,144546,Environmental Geosciences,žena
66753,B-BEE,,Bakalářský,prezenční,21. 01. 2020,0,ano,Florianópolis,Brazilská federativní republika,10,10 - Přijat,,ne,144477,Environmental Engineering,muž
66604,B-BEDS,,Bakalářský,prezenční,20. 01. 2020,0,ano,Marechal Deodoro,Brazilská federativní republika,10,10 - Přijat,,ne,144775,Environmental Data Science,muž
64951,N-KI,LPAO,Magisterský navazující,prezenční,10. 01. 2020,12500,ano,Praha,Česká republika,10,10 - Přijat,23.09.2020,ano,144858,Krajinné inženýrství,žena
92121,N-NCO,,Magisterský navazující,prezenční,01. 04. 2020,0,ano,Praha,Česká republika,10,10 - Přijat,,ne,159031,Nature Conservation,žena
59204,B-BEE,,Bakalářský,prezenční,05. 11. 2019,,ne,Bamenda,Ostatní,20,20 - Nepřijat -- PZ,,ne,144478,Environmental Engineering,muž
57007,N-KI,LPAO,Magisterský navazující,prezenční,05. 10. 2019,,ne,Techiman,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,144458,Krajinné inženýrství,muž
95191,N-NCO,,Magisterský navazující,prezenční,02. 05. 2020,0,ne,La Bazoge,Francouzská republika,10,10 - Přijat,,ne,166400,Nature Conservation,žena
67724,B-BGISRS,,Bakalářský,prezenční,27. 01. 2020,7500,ano,Praha,Česká republika,10,10 - Přijat,22.09.2020,ano,144479,Geographic information systems and Remote sensing in Environmental Sciences,muž
64647,N-NCO,,Magisterský navazující,prezenční,08. 01. 2020,12242.88,ano,Tallinn,Estonská republika,10,10 - Přijat,,ne,144266,Nature Conservation,žena
98412,B-BGISRS,,Bakalářský,prezenční,27. 05. 2020,,ne,Beograd,Srbská republika,20,20 - Nepřijat -- PZ,,ne,166378,Geographic information systems and Remote sensing in Environmental Sciences,muž
64008,N-ENVA,,Magisterský navazující,prezenční,01. 01. 2020,0,ano,SHEN ZHEN,Čínská lidová republika,10,10 - Přijat,,ne,142687,Environmental Modelling,žena
64261,N-EGS,,Magisterský navazující,prezenční,05. 01. 2020,,ne,SHEN ZHEN,Čínská lidová republika,20,20 - Nepřijat -- PZ,,ne,143827,Environmental Geosciences,žena
95290,N-KI,LPAO,Magisterský navazující,prezenční,03. 05. 2020,12500,ano,Vienna,Rakouská republika,10,10 - Přijat,,ne,165920,Krajinné inženýrství,muž
65013,N-EGS,,Magisterský navazující,prezenční,10. 01. 2020,,ne,Kolkata,Indická republika,20,20 - Nepřijat -- PZ,,ne,144267,Environmental Geosciences,muž
61415,N-ENVA,,Magisterský navazující,prezenční,07. 12. 2019,,ne,Ahvaz,Íránská islámská republika,20,20 - Nepřijat -- PZ,,ne,142688,Environmental Modelling,muž
98234,B-BEE,,Bakalářský,prezenční,27. 05. 2020,7483.39,ano,"Sancaktepe / İstanbul, Turkey",Turecká republika,10,10 - Přijat,26.10.2020,ano,166275,Environmental Engineering,muž
98392,B-BGISRS,,Bakalářský,prezenční,27. 05. 2020,,ne,"Sancaktepe / İstanbul, Turkey",Turecká republika,20,20 - Nepřijat -- PZ,,ne,166276,Geographic information systems and Remote sensing in Environmental Sciences,muž
68619,N-NCO,,Magisterský navazující,prezenční,29. 01. 2020,0,ne,MADRID,Španělské království,10,10 - Přijat,,ne,144547,Nature Conservation,žena
65356,B-BEDS,,Bakalářský,prezenční,13. 01. 2020,,ne,Yaounde,Kamerunská republika,20,20 - Nepřijat -- PZ,,ne,143394,Environmental Data Science,muž
65357,N-ENVA,,Magisterský navazující,prezenční,13. 01. 2020,0,ano,Yaounde,Kamerunská republika,10,10 - Přijat,,ne,143828,Environmental Modelling,muž
65720,B-BEE,,Bakalářský,prezenční,16. 01. 2020,7500,ano,Reading,Spojené státy americké,10,10 - Přijat,08.12.2020,ano,144480,Environmental Engineering,muž
66805,B-BEDS,,Bakalářský,prezenční,21. 01. 2020,,ne,Reading,Spojené státy americké,20,20 - Nepřijat -- PZ,,ne,144481,Environmental Data Science,muž
96065,B-BEE,,Bakalářský,prezenční,12. 05. 2020,0,ano,İzmir/Karabağlar,Turecká republika,10,10 - Přijat,,ne,164260,Environmental Engineering,žena
67204,N-NCO,,Magisterský navazující,prezenční,25. 01. 2020,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,144268,Nature Conservation,žena
77071,B-BEE,,Bakalářský,prezenční,28. 02. 2020,7500,ano,Praha (Karlín),Česká republika,10,10 - Přijat,22.09.2020,ano,149831,Environmental Engineering,žena
83417,B-BGISRS,,Bakalářský,prezenční,21. 03. 2020,0,ne,Praha (Karlín),Česká republika,10,10 - Přijat,,ne,153863,Geographic information systems and Remote sensing in Environmental Sciences,žena
