Reg. č.,Program zkratka,Obor zkr. zkratka,Typ studia,Forma,Datum přijetí př.,Školné zapl.,Potvrzení zájmu,KA - obec,KA - stát,Rozh. o přijetí - kód,Rozh. o přijetí - název,Datum zápisu,Studium,ID přihlášky,Program název,Pohlaví
15597,N-NCO,,Magisterský navazující,prezenční,23. 01. 2021,0,ano,Islamabad,Pákistánská islámská republika,10,10 - Přijat,,ne,178695,Nature Conservation,muž
43147,B-BEE,,Bakalářský,prezenční,16. 04. 2021,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,201343,Environmental Engineering,muž
14209,B-BEDS,,Bakalářský,prezenční,14. 01. 2021,,ne,Menia,Egyptská arabská republika,20,20 - Nepřijat -- PZ,,ne,178175,Environmental Data Science,muž
11565,N-EGS,,Magisterský navazující,prezenční,06. 12. 2020,,ne,algeria,Alžírská lidová demokratická republika,20,20 - Nepřijat -- PZ,,ne,178696,Environmental Geosciences,muž
11798,N-NCO,,Magisterský navazující,prezenční,11. 12. 2020,,ne,Bejaia,Alžírská lidová demokratická republika,20,20 - Nepřijat -- PZ,,ne,176415,Nature Conservation,muž
21424,N-EGS,,Magisterský navazující,prezenční,20. 02. 2021,,ne,Kaduna,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,201435,Environmental Geosciences,muž
43151,N-ENVA,,Magisterský navazující,prezenční,16. 04. 2021,0,ne,Dhaka,Bangladéšská lidová republika,10,10 - Přijat,,ne,201436,Environmental Modelling,muž
20975,N-NCO,,Magisterský navazující,prezenční,18. 02. 2021,,ne,"FCT, Abuja, Nigeria.",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,190366,Nature Conservation,muž
15495,N-LPA,,Magisterský navazující,prezenční,22. 01. 2021,,ne,Kumasi,Ghanská republika,20,20 - Nepřijat -- PZ,,ne,179216,Landscape Planning,muž
20268,N-LPA,,Magisterský navazující,prezenční,15. 02. 2021,15000,ano,Praha,Česká republika,10,10 - Přijat,27.09.2021,ano,190367,Landscape Planning,žena
12836,B-BEDS,,Bakalářský,prezenční,03. 01. 2021,,ne,OJODU,Ostatní,20,20 - Nepřijat -- PZ,,ne,178736,Environmental Data Science,muž
28038,B-BEE,,Bakalářský,prezenční,12. 03. 2021,,ne,Lagos Nigeria,Ostatní,20,20 - Nepřijat -- PZ,,ne,198220,Environmental Engineering,muž
21492,N-NCO,,Magisterský navazující,prezenční,20. 02. 2021,,ne,"Off Candos Road Baruwa, Ipaja Lagos",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,190368,Nature Conservation,žena
39718,B-BEE,,Bakalářský,prezenční,31. 03. 2021,,ne,Sango-Ota,Ostatní,20,20 - Nepřijat -- PZ,,ne,200782,Environmental Engineering,muž
39720,B-BEDS,,Bakalářský,prezenční,31. 03. 2021,,ne,Sango-Ota,Ostatní,20,20 - Nepřijat -- PZ,,ne,200783,Environmental Data Science,muž
33426,N-NCO,,Magisterský navazující,prezenční,24. 03. 2021,,ne,Ibadan,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,197527,Nature Conservation,muž
16027,B-BEE,,Bakalářský,prezenční,25. 01. 2021,,ne,"BUILDING 23, EL - SAADA STREET, EL - BASATI FHARAEYA",Egyptská arabská republika,20,20 - Nepřijat -- PZ,,ne,179841,Environmental Engineering,muž
10592,B-BGISRS,,Bakalářský,prezenční,20. 11. 2020,,ne,Ilorin,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,176363,Geographic Information Systems and Remote Rensing in Environmental Sciences,žena
10047,N-NCO,,Magisterský navazující,prezenční,23. 10. 2020,,ne,"Maryland, Lagos",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,176416,Nature Conservation,muž
