Reg. č.,Program zkratka,Obor zkr. zkratka,Typ studia,Forma,Datum přijetí př.,Školné zapl.,Potvrzení zájmu,KA - obec,KA - stát,Rozh. o přijetí - kód,Rozh. o přijetí - název,Datum zápisu,Studium,ID přihlášky,Program název,Pohlaví
83773,N-EGS,,Magisterský navazující,prezenční,10. 04. 2022,,ne,Port Harcourt,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,237115,Environmental Geosciences,muž
62680,N-ENVA,,Magisterský navazující,prezenční,16. 03. 2022,,ne,"Pencinema, Ogba, Lagos state",Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,231750,Environmental Modelling,muž
53024,N-NCO,,Magisterský navazující,prezenční,04. 11. 2021,0,ano,Palencia,Španělské království,10,10 - Přijat,,ne,211619,Nature Conservation,žena
84111,N-NCO,,Magisterský navazující,prezenční,12. 04. 2022,0,ne,Lagos,Nigérijská federativní republika,10,10 - Přijat,,ne,237092,Nature Conservation,žena
56780,N-EGS,,Magisterský navazující,prezenční,05. 01. 2022,,ne,Ifako-Ijaye,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,213837,Environmental Geosciences,žena
52568,B-BEDS,,Bakalářský,prezenční,05. 10. 2021,,ne,Abeokuta,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,210760,Environmental Data Science,muž
71969,B-BEDS,,Bakalářský,prezenční,26. 03. 2022,,ne,Osogbo,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,236340,Environmental Data Science,muž
52618,N-NCO,,Magisterský navazující,prezenční,07. 10. 2021,,ne,Ilesa,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,211620,Nature Conservation,muž
74959,B-BEDS,,Bakalářský,prezenční,28. 03. 2022,,ne,Aktobe,Republika Kazachstán,20,20 - Nepřijat -- PZ,,ne,237071,Environmental Data Science,žena
52619,N-NCO,,Magisterský navazující,prezenční,08. 10. 2021,16500,ano,"Guatemala City, zone 5",Guatemalská republika,10,10 - Přijat,22.09.2022,ano,211621,Nature Conservation,muž
59047,N-ENVA,,Magisterský navazující,prezenční,19. 01. 2022,16500,ano,Negombo,Srílanská demokratická socialistická republika,10,10 - Přijat,,ne,213336,Environmental Modelling,muž
84211,B-BEDS,,Bakalářský,prezenční,13. 04. 2022,,ne,"Limassol, Cyprus",Ostatní,20,20 - Nepřijat -- PZ,,ne,237289,Environmental Data Science,muž
52488,B-BEDS,,Bakalářský,prezenční,01. 10. 2021,,ne,Mexico,Spojené státy mexické,20,20 - Nepřijat -- PZ,,ne,211823,Environmental Data Science,žena
52536,N-NCO,,Magisterský navazující,prezenční,03. 10. 2021,0,ano,Dansoman,Ghanská republika,10,10 - Přijat,,ne,211622,Nature Conservation,muž
84482,N-LPA,,Magisterský navazující,prezenční,16. 04. 2022,0,ne,Stuttgart,Spolková republika Německo,10,10 - Přijat,,ne,238509,Landscape Planning,žena
51637,B-BEE,,Bakalářský,prezenční,09. 03. 2022,,ne,Granby,Spojené státy americké,20,20 - Nepřijat -- PZ,,ne,230620,Environmental Engineering,muž
54573,N-EGS,,Magisterský navazující,prezenční,04. 12. 2021,,ne,Ras Sadr,Egyptská arabská republika,20,20 - Nepřijat -- PZ,,ne,213984,Environmental Geosciences,muž
55658,B-BEE,,Bakalářský,prezenční,20. 12. 2021,0,ne,Skopje,Republika Severní Makedonie,10,10 - Přijat,,ne,212109,Environmental Engineering,žena
52552,N-EGS,,Magisterský navazující,prezenční,04. 10. 2021,,ne,Lime tree garden,Jamajka,20,20 - Nepřijat -- PZ,,ne,211490,Environmental Geosciences,žena
84469,B-BEE,,Bakalářský,prezenční,16. 04. 2022,10000,ano,"Los Andes, Valparaiso region, Chile",Chilská republika,10,10 - Přijat,,ne,237290,Environmental Engineering,muž
59600,N-LPA,,Magisterský navazující,prezenční,22. 01. 2022,0,ano,São Paulo,Ostatní,10,10 - Přijat,,ne,213862,Landscape Planning,žena
57303,N-LPA,,Magisterský navazující,prezenční,08. 01. 2022,,ne,Sary,Íránská islámská republika,20,20 - Nepřijat -- PZ,,ne,212623,Landscape Planning,žena
55491,B-BEE,,Bakalářský,prezenční,18. 12. 2021,,ne,Mahalapye,Botswanská republika,20,20 - Nepřijat -- PZ,,ne,211824,Environmental Engineering,muž
53035,B-BEE,,Bakalářský,prezenční,04. 11. 2021,10000,ano,"San Pedro Tecamac, Cholula, Puebla.",Spojené státy mexické,10,10 - Přijat,21.09.2022,ano,210761,Environmental Engineering,muž
54803,N-EGS,,Magisterský navazující,prezenční,07. 12. 2021,,ne,Kazan,Ruská federace,20,20 - Nepřijat -- PZ,,ne,213838,Environmental Geosciences,muž
57479,N-EGS,,Magisterský navazující,prezenční,09. 01. 2022,,ne,iztapalapa,Spojené státy mexické,20,20 - Nepřijat -- PZ,,ne,212531,Environmental Geosciences,muž
53823,B-BEE,,Bakalářský,prezenční,22. 11. 2021,,ano,Brno,Česká republika,24,24 - Nepřijat (další podmínky),,ne,213149,Environmental Engineering,žena
56616,B-BEDS,,Bakalářský,prezenční,04. 01. 2022,,ne,Shchelkovo,Ruská federace,20,20 - Nepřijat -- PZ,,ne,212110,Environmental Data Science,žena
52514,B-BEDS,,Bakalářský,prezenční,02. 10. 2021,,ne,Abuja,Ostatní,20,20 - Nepřijat -- PZ,,ne,210762,Environmental Data Science,žena
16339,B-BEE,,Bakalářský,prezenční,23. 02. 2022,,ne,Abuja,Ostatní,20,20 - Nepřijat -- PZ,,ne,230621,Environmental Engineering,žena
84533,N-ENVA,,Magisterský navazující,prezenční,17. 04. 2022,,ne,"Antiguo Cuscatlan, La Libertad",Salvadorská republika,20,20 - Nepřijat -- PZ,,ne,237213,Environmental Modelling,muž
67624,B-BEE,,Bakalářský,prezenční,22. 03. 2022,10000,ano,Praha (Řepy),Česká republika,10,10 - Přijat,18.10.2022,ano,237291,Environmental Engineering,žena
82653,B-BEDS,,Bakalářský,prezenční,01. 04. 2022,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,236341,Environmental Data Science,muž
56545,B-BEDS,,Bakalářský,prezenční,03. 01. 2022,0,ne,Mořina,Česká republika,10,10 - Přijat,,ne,212111,Environmental Data Science,žena
58305,B-BEE,,Bakalářský,prezenční,14. 01. 2022,,ne,Sari,Íránská islámská republika,20,20 - Nepřijat -- PZ,,ne,213897,Environmental Engineering,žena
35700,B-BEE,,Bakalářský,prezenční,28. 02. 2022,,ne,Sari,Íránská islámská republika,20,20 - Nepřijat -- PZ,,ne,236342,Environmental Engineering,žena
83183,B-BEDS,,Bakalářský,prezenční,05. 04. 2022,,ne,Sari,Íránská islámská republika,20,20 - Nepřijat -- PZ,,ne,237292,Environmental Data Science,žena
80036,B-BEE,,Bakalářský,prezenční,31. 03. 2022,,ne,"Dhaka,Uttara",Bangladéšská lidová republika,20,20 - Nepřijat -- PZ,,ne,237293,Environmental Engineering,muž
59266,N-LPA,,Magisterský navazující,prezenční,21. 01. 2022,,ne,Praha,Česká republika,20,20 - Nepřijat -- PZ,,ne,213424,Landscape Planning,žena
52668,N-NCO,,Magisterský navazující,prezenční,11. 10. 2021,0,ano,KIRIBATHGODA,Ostatní,10,10 - Přijat,,ne,211623,Nature Conservation,muž
65207,N-ENVA,,Magisterský navazující,prezenční,20. 03. 2022,,ne,COVENTRY,Spojené království Velké Británie a Severního Irska,20,20 - Nepřijat -- PZ,,ne,231751,Environmental Modelling,muž
53471,N-NCO,,Magisterský navazující,prezenční,17. 11. 2021,,ne,NYARUGENGE- KIYOVU,Rwandská republika,20,20 - Nepřijat -- PZ,,ne,212077,Nature Conservation,muž
56376,N-NCO,,Magisterský navazující,prezenční,02. 01. 2022,16500,ano,Drayton St Leonard,Spojené království Velké Británie a Severního Irska,10,10 - Přijat,22.09.2022,ano,212078,Nature Conservation,žena
21088,N-NCO,,Magisterský navazující,prezenční,24. 02. 2022,16500,ano,Sialkot,Pákistánská islámská republika,10,10 - Přijat,,ne,232390,Nature Conservation,muž
55020,B-BEE,,Bakalářský,prezenční,11. 12. 2021,,ne,"Holly Springs, North Carolina",Spojené státy americké,20,20 - Nepřijat -- PZ,,ne,211825,Environmental Engineering,žena
55755,B-BEE,,Bakalářský,prezenční,22. 12. 2021,,ne,Nigeria,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,214024,Environmental Engineering,muž
82803,B-BEE,,Bakalářský,prezenční,02. 04. 2022,,ne,Lagos,Nigérijská federativní republika,20,20 - Nepřijat -- PZ,,ne,236343,Environmental Engineering,muž
