Spec. symbol,Program zkratka,Obor zkratka,Typ studia,Forma,Datum a čas zal. přihl.,Datum podání,Spr. poplatek - vypočteno,Spr. poplatek - zaplaceno,Zaplaceno,Datum úhrady,Dadtum zkompl. Zaplaceno,Datum zkompl. Adresy,Kompl. adresy,Datum zkompl. Os. údaje,Kompl. přihlášky,Datum zkompl. celé přihl.,Kompl. údajů přihl.,Datum zkompl. Údaje o přihl.,KA - obec,KA - stát
54944,N-EGS,,Magisterský navazující,prezenční,10. 12. 2021 10:23,10.12.2021,750,750,ano,19.12.2021,19. 12. 2021 21:59:42,10. 12. 2021 12:09:06,ano,10. 12. 2021 12:06:00,ano,19. 12. 2021 21:59:42,ano,10. 12. 2021 10:26:18,lagos,Ostatní
54649,N-LPA,,Magisterský navazující,prezenční,05. 12. 2021 19:57,06.12.2021,750,750,ano,06.12.2021,06. 12. 2021 21:54:33,06. 12. 2021 18:39:23,ano,06. 12. 2021 18:33:04,ano,06. 12. 2021 21:54:33,ano,05. 12. 2021 19:58:50,"Rouiba , Algiers, Algeria",Alžírská lidová demokratická republika
52519,B-BEE,,Bakalářský,prezenční,03. 10. 2021 12:20,,750,0,ne,,,03. 10. 2021 12:50:11,ano,,ne,,ano,03. 10. 2021 12:25:13,Durbawa Kware sokoto Nigeria,Nigérijská federativní republika
52785,N-EGS,,Magisterský navazující,prezenční,19. 10. 2021 20:49,,750,0,ne,,,,ne,,ne,,ano,19. 10. 2021 20:52:13,,
53792,N-ENVA,,Magisterský navazující,prezenční,22. 11. 2021 12:40,22.11.2021,750,0,ne,,,22. 11. 2021 12:36:22,ano,22. 11. 2021 12:40:38,ne,,ano,22. 11. 2021 12:40:38,"Salehpat, Sukkur",Pákistánská islámská republika
52848,N-ENVA,,Magisterský navazující,prezenční,23. 10. 2021 04:01,16.12.2021,750,750,ano,17.12.2021,04. 01. 2022 03:01:35,07. 11. 2021 17:44:40,ano,07. 11. 2021 17:37:06,ano,04. 01. 2022 03:01:36,ano,24. 10. 2021 22:19:41,erbil,Irácká republika
56425,N-ENVA,,Magisterský navazující,prezenční,02. 01. 2022 23:24,03.01.2022,750,0,ne,,,03. 01. 2022 00:18:08,ano,03. 01. 2022 00:04:00,ne,,ano,02. 01. 2022 23:32:04,Chlef,Alžírská lidová demokratická republika
56415,N-NCO,,Magisterský navazující,prezenční,02. 01. 2022 20:42,,750,0,ne,,,02. 01. 2022 21:38:00,ano,02. 01. 2022 21:13:45,ne,,ano,02. 01. 2022 20:44:53,BLIDA,Alžírská lidová demokratická republika
55167,B-BEDS,,Bakalářský,prezenční,13. 12. 2021 15:26,13.12.2021,750,0,ne,,,13. 12. 2021 21:41:28,ano,13. 12. 2021 21:11:47,ne,,ano,13. 12. 2021 15:46:31,beni messous,Alžírská lidová demokratická republika
55974,B-BEE,,Bakalářský,prezenční,27. 12. 2021 10:13,27.12.2021,750,0,ne,,,13. 12. 2021 21:41:28,ano,27. 12. 2021 10:13:02,ne,,ano,27. 12. 2021 10:13:02,beni messous,Alžírská lidová demokratická republika
55776,N-ENVA,,Magisterský navazující,prezenční,22. 12. 2021 15:00,26.12.2021,750,750,ano,26.12.2021,26. 12. 2021 13:27:19,24. 12. 2021 14:26:25,ano,24. 12. 2021 14:34:36,ano,26. 12. 2021 13:27:19,ano,24. 12. 2021 14:09:49,Praha,Česká republika
52688,B-BEE,,Bakalářský,prezenční,12. 10. 2021 09:05,14.10.2021,750,750,ano,20.10.2021,20. 10. 2021 20:19:27,14. 10. 2021 09:20:09,ano,12. 10. 2021 09:31:28,ano,20. 10. 2021 20:19:27,ano,12. 10. 2021 09:09:39,Canal view lahore,Pákistánská islámská republika
53223,B-BEDS,,Bakalářský,prezenční,12. 11. 2021 16:29,13.11.2021,750,750,ano,16.11.2021,16. 11. 2021 20:05:16,08. 12. 2020 01:56:29,ano,12. 11. 2021 16:29:23,ano,16. 11. 2021 20:05:17,ano,12. 11. 2021 16:29:23,Bauchi State,Nigérijská federativní republika
53303,N-EGS,,Magisterský navazující,prezenční,14. 11. 2021 14:12,16.12.2021,750,750,ano,23.12.2021,23. 12. 2021 23:31:25,20. 02. 2021 11:38:59,ano,14. 11. 2021 14:12:25,ano,23. 12. 2021 23:31:26,ano,14. 11. 2021 14:12:25,Kaduna,Nigérijská federativní republika
56266,B-BEDS,,Bakalářský,prezenční,01. 01. 2022 03:13,,750,0,ne,,,,ne,,ne,,ne,,,
52606,N-EGS,,Magisterský navazující,prezenční,07. 10. 2021 17:35,11.10.2021,750,750,ano,12.10.2021,12. 10. 2021 21:41:49,07. 10. 2021 17:46:41,ano,07. 10. 2021 17:41:25,ano,12. 10. 2021 21:41:49,ano,07. 10. 2021 17:36:44,Madina,Ghanská republika
52472,N-LPA,,Magisterský navazující,prezenční,01. 10. 2021 04:42,01.10.2021,750,500,ano,01.10.2021,01. 10. 2021 12:06:34,01. 10. 2021 04:56:26,ano,01. 10. 2021 04:51:12,ano,01. 10. 2021 12:06:34,ano,01. 10. 2021 04:44:23,No.6 dongli district,Čínská lidová republika
54082,N-EGS,,Magisterský navazující,prezenční,27. 11. 2021 10:34,27.11.2021,750,0,ne,,,27. 11. 2021 10:34:14,ano,27. 11. 2021 10:47:29,ne,,ano,27. 11. 2021 10:34:14,DORMAA AHENKRO,Ghanská republika
55436,B-BEE,,Bakalářský,prezenční,17. 12. 2021 12:20,,750,0,ne,,,,ne,,ne,,ano,17. 12. 2021 12:20:13,,
52621,N-NCO,,Magisterský navazující,prezenční,08. 10. 2021 08:16,,750,0,ne,,,,ne,,ne,,ano,08. 10. 2021 08:45:37,,
52748,N-EGS,,Magisterský navazující,prezenční,16. 10. 2021 06:33,28.12.2021,750,0,ne,,,31. 01. 2021 19:36:36,ano,16. 10. 2021 06:33:54,ne,,ano,16. 10. 2021 06:33:54,"Jos South, Plateau State, Nigeria",Nigérijská federativní republika
53160,N-NCO,,Magisterský navazující,prezenční,10. 11. 2021 23:24,,750,0,ne,,,,ne,,ne,,ano,10. 11. 2021 23:28:24,,
53814,N-ENVA,,Magisterský navazující,prezenční,22. 11. 2021 16:15,,750,0,ne,,,28. 11. 2021 22:48:15,ano,,ne,,ano,28. 11. 2021 22:39:56,"Lekki, Lagos",Nigérijská federativní republika
